"Method","Time (ms)","Count"
"ch.qos.logback.classic.util.ContextInitializer.autoConfig() ContextInitializer.java","139","1"
"java.lang.reflect.AnnotatedElement.isAnnotationPresent(Class) AnnotatedElement.java","139","618"
"java.io.File.<init>(File, String) File.java","138","3237"
"java.beans.Introspector.getBeanInfo(Class) Introspector.java","138","39"
"org.springframework.context.annotation.AnnotatedBeanDefinitionReader.register(Class[]) AnnotatedBeanDefinitionReader.java","137","1"
"org.springframework.context.annotation.AnnotatedBeanDefinitionReader.registerBean(Class, String, Class[]) AnnotatedBeanDefinitionReader.java","137","1"
"org.springframework.context.annotation.AnnotatedBeanDefinitionReader.registerBean(Class) AnnotatedBeanDefinitionReader.java","137","1"
"java.lang.Character.toLowerCase(char) Character.java","136","98633"
"org.springframework.core.annotation.AnnotatedElementUtils.searchWithGetSemanticsInAnnotations(AnnotatedElement, List, Class, String, Class, AnnotatedElementUtils$Processor, Set, int) AnnotatedElementUtils.java","136","604"
"sun.misc.Resource.getBytes() Resource.java","135","2012"
"org.springframework.boot.SpringApplication.createApplicationContext() SpringApplication.java","134","1"
"org.springframework.boot.autoconfigure.condition.OnClassCondition$StandardOutcomesResolver.getOutcome(Set) OnClassCondition.java","133","87"
"org.springframework.beans.factory.config.YamlProcessor.process(Map, YamlProcessor$MatchCallback) YamlProcessor.java","132","2"
"org.springframework.boot.autoconfigure.condition.OnClassCondition.getMatches(Collection, OnClassCondition$MatchType, ClassLoader) OnClassCondition.java","132","275"
"java.io.UnixFileSystem.normalize(String) UnixFileSystem.java","131","4092"
